var0,var1
http://sws.ifi.uio.no/data/npd-v2/field/1028599/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1035937/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1036101/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/104718/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1272071/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1578840/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1578893/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1630100/reserve,0.600000
http://sws.ifi.uio.no/data/npd-v2/field/1630514/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/18081500/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/18116481/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/18161341/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/18212090/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1854729/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/20460969/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/20460988/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/20461008/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/20474183/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/2053062/reserve,19.000000
http://sws.ifi.uio.no/data/npd-v2/field/21106284/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/21123063/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/21350124/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/2138816/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/21613906/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/21675433/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/21675447/reserve,3.000000
http://sws.ifi.uio.no/data/npd-v2/field/22492497/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/22507971/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/2762452/reserve,9.100000
http://sws.ifi.uio.no/data/npd-v2/field/2834734/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/2845712/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/3392471/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/3420717/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/3437650/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/3505505/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/3960848/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/4005142/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43437/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43444/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43451/reserve,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/43457/reserve,4.500000
