licenceuri,date,interest
http://sws.ifi.uio.no/data/npd-v2/licence/102103,1999-06-04,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,1999-06-04,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,1999-06-04,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-05-10,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-05-10,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-05-10,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-06-01,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-06-01,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-06-01,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-12-31,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-12-31,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102103,2001-12-31,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102131,1999-06-04,100.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102131,2001-06-08,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102131,2001-06-08,65.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102131,2003-08-22,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102131,2004-10-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,1999-06-04,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,1999-06-04,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,1999-06-04,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2001-05-10,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2001-05-10,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2001-05-10,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2001-06-01,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2001-06-01,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2001-06-01,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2003-02-12,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2003-02-12,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2003-02-12,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2003-11-27,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2003-11-27,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102157,2003-11-27,40.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,1999-06-04,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,1999-06-04,75.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,1999-12-23,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,1999-12-23,75.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,2001-05-10,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,2001-05-10,75.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,2001-06-01,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,2001-06-01,75.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,2002-03-12,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102217,2002-03-12,75.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,1999-06-04,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2001-12-31,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2003-06-12,100.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2004-01-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2004-10-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2005-01-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2006-01-01,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2006-01-01,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2006-01-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-06-20,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-06-20,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-06-20,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-10-01,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-10-01,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-10-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-11-16,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-11-16,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2007-11-16,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2008-01-01,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2008-01-01,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2008-01-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-01-01,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-01-01,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-01-01,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-01-21,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-01-21,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-01-21,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-03-23,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-03-23,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-03-23,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-11-02,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-11-02,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-11-02,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-12-22,15.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-12-22,35.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102226,2009-12-22,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,1999-06-04,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,1999-06-04,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,1999-06-04,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,1999-12-23,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,1999-12-23,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,1999-12-23,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2001-05-10,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2001-05-10,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2001-05-10,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2001-06-01,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2001-06-01,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2001-06-01,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2002-03-12,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2002-03-12,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102235,2002-03-12,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,1999-06-04,50.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2000-07-01,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2000-07-01,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2000-07-01,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2001-12-31,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2001-12-31,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2001-12-31,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2002-04-17,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2002-04-17,30.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102244,2002-04-17,45.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102258,1999-06-04,20.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102258,1999-06-04,25.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102258,1999-06-04,55.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102258,2001-01-11,20.000000
http://sws.ifi.uio.no/data/npd-v2/licence/102258,2001-01-11,25.000000
