var0,var5,var3,var1,var4,var2
http://sws.ifi.uio.no/data/npd-v2/field/1028599/reserve,0.980000,0.200000,0.000000,0.600000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1035937/reserve,36.100000,0.000000,0.000000,36.100000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1036101/reserve,74.990000,8.100000,0.000000,9.800000,49.800000
http://sws.ifi.uio.no/data/npd-v2/field/104718/reserve,1.100000,0.000000,0.000000,1.100000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1272071/reserve,0.000000,0.000000,0.000000,0.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/1578840/reserve,12.960000,0.400000,0.000000,5.900000,6.300000
http://sws.ifi.uio.no/data/npd-v2/field/1578893/reserve,2.400000,0.000000,0.000000,1.100000,1.300000
http://sws.ifi.uio.no/data/npd-v2/field/1630100/reserve,1.680000,0.200000,0.600000,0.000000,0.700000
http://sws.ifi.uio.no/data/npd-v2/field/1630514/reserve,27.460000,4.400000,0.000000,3.300000,15.800000
http://sws.ifi.uio.no/data/npd-v2/field/18081500/reserve,4.000000,0.000000,0.000000,0.800000,3.200000
http://sws.ifi.uio.no/data/npd-v2/field/18116481/reserve,20.570000,1.300000,0.000000,11.700000,6.400000
http://sws.ifi.uio.no/data/npd-v2/field/18161341/reserve,0.400000,0.000000,0.000000,0.100000,0.300000
http://sws.ifi.uio.no/data/npd-v2/field/18212090/reserve,10.110000,0.900000,0.000000,0.600000,7.800000
http://sws.ifi.uio.no/data/npd-v2/field/1854729/reserve,20.070000,2.300000,0.000000,6.000000,9.700000
http://sws.ifi.uio.no/data/npd-v2/field/20460969/reserve,33.470000,1.300000,0.000000,4.900000,26.100000
http://sws.ifi.uio.no/data/npd-v2/field/20460988/reserve,13.720000,0.800000,0.000000,11.900000,0.300000
http://sws.ifi.uio.no/data/npd-v2/field/20461008/reserve,11.710000,0.900000,0.000000,2.700000,7.300000
http://sws.ifi.uio.no/data/npd-v2/field/20474183/reserve,4.080000,0.200000,0.000000,3.200000,0.500000
http://sws.ifi.uio.no/data/npd-v2/field/2053062/reserve,186.160000,5.400000,19.000000,0.000000,156.900000
http://sws.ifi.uio.no/data/npd-v2/field/21106284/reserve,1.600000,0.000000,0.000000,0.300000,1.300000
http://sws.ifi.uio.no/data/npd-v2/field/21123063/reserve,3.600000,0.000000,0.000000,3.600000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/21350124/reserve,14.190000,0.100000,0.000000,13.400000,0.600000
http://sws.ifi.uio.no/data/npd-v2/field/2138816/reserve,1.800000,0.000000,0.000000,0.500000,1.300000
http://sws.ifi.uio.no/data/npd-v2/field/21613906/reserve,1.600000,0.000000,0.000000,1.500000,0.100000
http://sws.ifi.uio.no/data/npd-v2/field/21675433/reserve,29.140000,0.600000,0.000000,26.200000,1.800000
http://sws.ifi.uio.no/data/npd-v2/field/21675447/reserve,30.030000,0.700000,3.000000,6.000000,19.700000
http://sws.ifi.uio.no/data/npd-v2/field/22492497/reserve,3.700000,0.000000,0.000000,3.400000,0.300000
http://sws.ifi.uio.no/data/npd-v2/field/22507971/reserve,12.100000,0.000000,0.000000,12.100000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/2762452/reserve,216.800000,0.000000,9.100000,0.000000,207.700000
http://sws.ifi.uio.no/data/npd-v2/field/2834734/reserve,2.000000,0.000000,0.000000,2.000000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/2845712/reserve,22.200000,0.000000,0.000000,17.500000,4.700000
http://sws.ifi.uio.no/data/npd-v2/field/3392471/reserve,6.200000,0.000000,0.000000,6.200000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/3420717/reserve,1.100000,0.000000,0.000000,1.000000,0.100000
http://sws.ifi.uio.no/data/npd-v2/field/3437650/reserve,0.300000,0.000000,0.000000,0.300000,0.000000
http://sws.ifi.uio.no/data/npd-v2/field/3505505/reserve,6.400000,0.000000,0.000000,6.300000,0.100000
